net,length_um
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[3\],60.92
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.act_val\[1\],60.9
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[4\],60.82
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.psum_out\[9\],60.66
_2141_,60.54
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.psum_out\[7\],60.42
_2849_,60.4
net301,60.3
clknet_leaf_101_clk,60.06
clknet_leaf_96_clk,60.02
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.psum_out\[9\],59.88
clknet_leaf_32_clk,59.76
u_fsm.state\[0\],59.71
_3463_,59.46
_3422_,59.4
_0954_,59.32
u_pe_array.u_fifo1.rd_ptr\[2\],59.3
clknet_leaf_69_clk,59.23
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[1\],59.15
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[2\],59.04
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[7\],58.73
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.move_reg\[10\],58.62
_3391_,58.48
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[9\],58.42
clknet_leaf_52_clk,58.12
u_pe_array.act_from_left\[5\]\[5\],58.02
net33,57.98
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.act_val\[4\],57.68
_2327_,57.65
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[6\],57.39
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[10\],57.38
u_pe_array.u_fifo1.wr_ptr\[0\],56.8
_0852_,56.68
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.act_val\[2\],56.6
clknet_leaf_106_clk,56.6
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[9\],56.16
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.move_reg\[7\],56.13
clknet_leaf_57_clk,56.06
_3514_,56.04
_2689_,55.98
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[8\],55.94
_2138_,55.88
